"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"NEU_SRR1974684",2.30905811322878,-1.27058471172643,-2.30258509299405,-1.7022936594198,1,0.298924728659009,-1.30727092629002,3.23437693187323,12.3182383940273,-0.184366126061525,20,0.247413061098035
"NEU_SRR1974686",2.45711182664968,-1.15736139745257,-2.30258509299405,-1.571108574711,1,0.328518119898222,-1.04434019985914,3.62583445751884,10.1243983779244,-0.175798615683718,10.2471560918146,0.228531717258092
"NEU_SRR1974697",5.9044836839435,-1.75249016467211,-2.30258509299405,-2.37871224065242,1,0.271999424101777,-2.53287504411075,3.38881278936701,1.8098316457385,-0.82872513566696,0.1,0.186662743086431
"NEU_SRR1974704",3.44402263615983,-1.25354336473562,-2.30258509299405,-1.75235707306909,1,0.419563940522938,-2.56480732680513,3.67983660223228,0.596260853319075,-0.868192696474511,0.1,0.215103724861311
"NEU_SRR1974705",0.0822794107979569,-0.279163126297912,-2.30258509299405,-1.46664601109298,1,0.222287151899224,-1.47910855109994,2.49981768747667,6.11408316268393,-0.33422036005247,1.40740015708866,0.110765154585428
"NEU_SRR1974706",3.3629069957259,-0.619680906762986,-2.30258509299405,-1.98223676686155,1,0.32708276947522,-2.16873636019919,4.56351946336541,10.0292735875626,-0.129538424733752,4.55802750295329,0.122022929299014
"NEU_SRR1974707",1.87883203375587,-1.15140148688026,-2.30258509299405,-1.90814524078808,1,0.209018679523327,-0.564260689502248,2.5863798370638,8.77563159655244,-0.37205177833016,20,0.171234622689257
"NEU_SRR1974709",-1.12417366101088,0.174611925227001,-2.30258509299405,-1.38161477973862,1,0.203027158199415,-0.523206662606637,2.50478691920868,7.8128246570052,-0.369136169532362,7.7371140800853,0.0574553139824055
"NEU_SRR1974710",0.869083863916194,-0.961816571530573,-2.30258509299405,-1.71206073337563,1,0.203831560836067,-0.567424368736683,2.76680712964049,9.32270941610595,-0.313985784179623,20,0.144044316939686
"NEU_SRR1974711",-1.21660506876622,-0.135773315331182,-2.30258509299405,-1.63680978760213,1,0.139312364719813,-1.92945618079006,2.60123219289128,11.3835383689806,-0.296056961971895,20,0.0747242847775764
"NEU_SRR1974712",1.40818265618474,-0.82292220554989,-2.30258509299405,-1.55947112766817,1,0.272656067426556,-0.763591090728455,3.19669207152074,10.6377142745423,-0.219654085668396,20,0.165344282933358
"NEU_SRR1974713",0.0535152225727579,-0.164956892210427,-2.30258509299405,-1.23806578878638,1,0.238694127892222,-3.94786553564086,2.91876202201553,5.41525427616153,-0.211293766666174,0.643129112796108,0.0923793050898391
"NEU_SRR1974714",2.30096018765361,-1.08065385801787,-2.30258509299405,-2.16847406452451,1,0.212972881870617,-2.27465805390046,2.84985895985231,10.7530528212153,-0.226915669449733,8.01460250805968,0.149925906715698
"NEU_SRR1974718",3.09988199179491,-1.40747129096567,-2.30258509299405,-2.20162791452756,1,0.25834016850997,-4.26692257736738,2.9553083001863,5.63419927138512,-0.23696261821817,0.598745707538702,0.224264878410343
"NEU_SRR1974724",1.40441043515908,-0.769825480527206,-2.30258509299405,-1.73910697126004,1,0.249373824873707,-3.09272120454721,2.90453678090124,4.77509442272975,-0.254280320066025,0.570145036681021,0.16388858384768
"NEU_SRR1974730",1.47468006443405,-0.55660713648921,-2.30258509299405,-2.14369375664283,1,0.22647908983444,-1.30747937251335,2.52902650360641,7.07093346600699,-0.360617950032965,2.7880990101429,0.10241088668684
"NEU_SRR1974735",1.92447132788506,0.00876138192571608,-2.30258509299405,-1.73411444895477,1,0.337207501388759,-3.30032270523429,3.45599316747559,0.511011401221087,-0.600762803310435,0.1,0.0319352755576745
"NEU_SRR1974752",2.0365193501209,-0.99715882007686,-2.30258509299405,-1.80252860484239,1,0.214797999879762,-0.357718359357899,2.63762229853684,8.83742027253656,-0.356458685048126,20,0.159858396627532
"NEU_SRR1974756",1.16522703836451,-0.561425482892275,-2.30258509299405,-1.47581240021324,1,0.282420141889168,-2.56784323826237,3.89795037940841,9.74890635543008,-0.13105229866988,3.3711035873967,0.139154503892458
"NEU_SRR1974759",0.122334527557405,-0.335206425145058,-2.30258509299405,-1.44944814208133,1,0.2419902897488,-2.35530802283816,3.40598331936124,14.0858423065834,-0.153196314696001,15.2410780955424,0.12183856494359
"NEU_SRR1974762",-1.80784726157318,0.386081433149358,-2.30258509299405,-0.840555729243951,1,0.159378076399668,-4.3968748602824,2.53643852846383,5.46916581232027,-0.306441635095565,0.364796349432001,0.0332658266590123
"NEU_SRR1974763",0.843763839557738,-0.545542458553831,-2.30258509299405,-1.34832697798609,1,0.269246185594664,-2.93001381556634,3.83422067654627,10.3185289807424,-0.129735197941482,3.59007563312541,0.232872432787742
"NEU_SRR1974767",-1.84211153980146,0.0527078736709287,-2.30258509299405,-0.734516924026096,1,0.186084176020621,-0.594213554833222,2.35496673674883,10.444597139873,-0.284328397245338,20,0.0629548110361721
"NEU_SRR1974773",-1.34418040100771,0.109340544565674,-2.30258509299405,-1.03577845745269,1,0.17156006406584,-1.91973215371127,2.65214432085035,10.8222082913873,-0.22565106158236,7.34303185796672,0.0743990948479259
"NEU_SRR1974775",-0.610424027782938,-0.219068845365389,-2.30258509299405,-1.08149954805448,1,0.169337393175692,-4.09312041541561,2.68922182176643,5.5470790976779,-0.254168641468849,0.461960492235263,0.114949956564162
"NEU_SRR1974776",-2.01525446634486,0.281312410860869,-2.30258509299405,-0.856137497062168,1,0.119100140471471,-1.08188914709798,2.50031986390071,11.5787622256765,-0.287613166056131,20,0.041085664962816
"NEU_SRR1974777",-2.08057327129319,0.288644601015413,-2.30258509299405,-0.875344424748407,1,0.17939996701986,-0.452334797470642,2.31413391055188,9.72549431461004,-0.345557277595714,20,0.0761221394896765
"NEU_SRR1974778",-1.88004913440604,0.307919046633249,-2.30258509299405,-1.06331015926221,1,0.164798108585613,-0.981346132699179,2.4160270774683,10.4605939614015,-0.31976165021405,20,0.0477826255763318
"NEU_SRR1974779",-1.40955719097096,-0.00933885215040594,-2.30258509299405,-1.10720299636778,1,0.206663194658017,-0.865466859339044,2.51401429807443,10.9751043719123,-0.261095513995793,20,0.113583653527207
"NEU_SRR1974780",-1.22379049369727,-0.0580903592795,-2.30258509299405,-0.824211551988896,1,0.123379256334612,-4.17487154374809,2.40071496585607,4.18800833393766,-0.670668020854055,0.1,0.0696977912155894
"NEU_SRR1974782",-1.15089345187085,0.0200937223181167,-2.30258509299405,-1.10296649368768,1,0.184501478097434,-2.59971742386545,2.89982200579084,12.8506568680525,-0.166433104821872,7.38574262768066,0.100323035878543
"NEU_SRR1974783",-1.57211182880743,0.286027146989119,-2.30258509299405,-0.944155206498751,1,0.181498403029744,-0.0270427428708449,2.25912157872377,8.12733687336624,-0.467327678068383,20,0.0596853201408166
"NEU_SRR1974785",-2.20430552564683,0.165084303390172,-2.30258509299405,-0.821527459051489,1,0.133508850503259,-0.870606821796962,2.53271624589567,11.0005831687842,-0.302607304417425,20,0.0656276110550398
"NEU_SRR1974786",-1.53091494289462,0.161499919031418,-2.30258509299405,-1.03267344241896,1,0.146157191974624,-1.12453572777882,2.46756303820163,9.34510062354301,-0.348378434265885,11.7608626960086,0.042190163894006
"NEU_SRR1974787",-1.84295791851044,0.217626344315991,-2.30258509299405,-0.998954725199206,1,0.135998894843208,-0.475860141909631,2.37999389094405,9.5054421092137,-0.388203001903211,18.4088086787411,0.0427810722831576
"NEU_SRR1974793",1.81275469959977,-0.747839556656122,-2.30258509299405,-1.25980528343162,1,0.2549515383924,-3.34168617754927,3.01445076358905,4.88209438480322,-0.240021724546106,0.730268740829397,0.118013200691286
"NEU_SRR1974799",0.236699130096767,-0.287021710231771,-2.30258509299405,-1.20895389847285,1,0.230375834852079,-1.59189943570479,2.78103954669297,10.6515009874635,-0.215820245398249,10.3191021945848,0.131038971961516
"NEU_SRR1974800",-0.618478041067169,-0.175058985336767,-2.30258509299405,-0.752367689955802,1,0.187510000532261,-0.258287892749711,2.4209032524557,8.20982570798516,-0.389885110729106,20,0.076290918608633
"NEU_SRR1974801",0.237731665902865,-0.518881587477313,-2.30258509299405,-1.57154664503818,1,0.269602287137255,-2.26849442552205,2.68733771862611,3.89558340877352,-0.281071931671033,0.42644706012241,0.157349400496613
"NEU_SRR1974803",1.07379896300742,0.587031884952125,-2.30258509299405,-1.92254792210795,1,0.181178740647656,-44.5120184942036,5.66013500516598,25.8338458871896,-0.0566754871254426,1.4622973774247,-0.0342276148894886
